REKAPITULASI DATA UMKM KABUPATEN SLEMAN;;;;;;;;;;;;;;;;;;;;;;,,,,
BERDASARKAN SEKTOR USAHA TIAP KAPANEWON;;;;;;;;;;;;;;;;;;;;;;,,,,
TAHUN 2022;;;;;;;;;;;;;;;;;;;;;;,,,,
;;;;;;;;;;;;;;;;;;;;;;,,,,
No;Sektor Usaha;Definisi;Satuan;Moyudan;Gamping;Sleman;Tempel;Turi;Seyegan;Godean;Mlati;Kalasan;Ngemplak;Cangkringan;Minggir;Depok;Berbah;Prambanan;Ngaglik;Pakem;;,,,,
1;Pertanian, Kehutanan," dan Perikanan;""Pembagian atau klasifikasi dari semua aktivitas ekonomi ke dalam beberapa kategori utama berdasarkan karakteristik", sifat, atau jenis pekerjaan yang dilakukan.
Klasifikasi Sektor Usaha berdasarkan 17 sektor PDRB : ,,,,
1. Pertanian, kehutanan dan perikanan,,,
2. Pertambangan dan penggalian,,,,
3. Industri pengolahan,,,,
4. Pengadaan listrik, gas,,,
5. Pengadaan air, pengelolaan sampah, limbah dan daur ulang,,
6. Konstruksi,,,,
7. Perdagangan besar dan eceran, reparasi mobil dan sepeda motor,,,
8. Transportasi dan komunikasi,,,,
9. Penyediaan akomodasi dan makan minum,,,,
10. Informasi dan komunikasi,,,,
11. Jasa keuangan dan asuransi,,,,
12. Real estate,,,,
13. Jasa perusahaan,,,,
14. Administrasi pemerintahan, pertahanan dan jaminan sosial wajib,,,
15. Jasa pendidikan,,,,
16. Jasa kesehatan dan kegiatan sosial,,,,
17. Jasa lainnya,,,,
";Usaha;162;217;312;378;501;321;312;318;363;340;144;230;250;140;42;66;178;4274;
2;Pertambangan dan Penggalian;Pembagian atau klasifikasi dari semua aktivitas ekonomi ke dalam beberapa kategori utama berdasarkan karakteristik", sifat, atau jenis pekerjaan yang dilakukan.,,
Klasifikasi Sektor Usaha berdasarkan 17 sektor PDRB : ,,,,
1. Pertanian, kehutanan dan perikanan,,,
2. Pertambangan dan penggalian,,,,
3. Industri pengolahan,,,,
4. Pengadaan listrik, gas,,,
5. Pengadaan air, pengelolaan sampah, limbah dan daur ulang,,
6. Konstruksi,,,,
7. Perdagangan besar dan eceran, reparasi mobil dan sepeda motor,,,
8. Transportasi dan komunikasi,,,,
9. Penyediaan akomodasi dan makan minum,,,,
10. Informasi dan komunikasi,,,,
11. Jasa keuangan dan asuransi,,,,
12. Real estate,,,,
13. Jasa perusahaan,,,,
14. Administrasi pemerintahan, pertahanan dan jaminan sosial wajib,,,
15. Jasa pendidikan,,,,
16. Jasa kesehatan dan kegiatan sosial,,,,
17. Jasa lainnya,,,,
";Usaha;0;1;3;10;6;5;3;3;4;9;6;0;0;1;0;2;2;55;
3;Industri Pengolahan;Pembagian atau klasifikasi dari semua aktivitas ekonomi ke dalam beberapa kategori utama berdasarkan karakteristik", sifat, atau jenis pekerjaan yang dilakukan.,,
Klasifikasi Sektor Usaha berdasarkan 17 sektor PDRB : ,,,,
1. Pertanian, kehutanan dan perikanan,,,
2. Pertambangan dan penggalian,,,,
3. Industri pengolahan,,,,
4. Pengadaan listrik, gas,,,
5. Pengadaan air, pengelolaan sampah, limbah dan daur ulang,,
6. Konstruksi,,,,
7. Perdagangan besar dan eceran, reparasi mobil dan sepeda motor,,,
8. Transportasi dan komunikasi,,,,
9. Penyediaan akomodasi dan makan minum,,,,
10. Informasi dan komunikasi,,,,
11. Jasa keuangan dan asuransi,,,,
12. Real estate,,,,
13. Jasa perusahaan,,,,
14. Administrasi pemerintahan, pertahanan dan jaminan sosial wajib,,,
15. Jasa pendidikan,,,,
16. Jasa kesehatan dan kegiatan sosial,,,,
17. Jasa lainnya,,,,
